,3,4,5,6,8,10,12,16,20
8,8,8,8,8,,,,,
10,10,10,10,10,10,,,,
12,12,12,12,12,12,12,,,
16,16,16,16,16,16,16,,,
20,20,20,20,20,20,20,20,,
25,25,25,25,25,25,25,25,,
30,18,20,30,30,30,30,30,30,
35,,20,22,35,35,35,35,35,35
40,,20,22,24,40,40,40,40,40
45,,,22,24,45,45,45,45,45
50,,,22,24,28,50,50,50,50
55,,,,24,28,32,55,55,55
60,,,,24,28,32,60,60,60
65,,,,,28,32,36,65,65
70,,,,,28,32,36,70,70
80,,,,,28,32,36,44,80
90,,,,,,32,36,44,90
100,,,,,,32,36,44,52
