Nominal Diam,Driver Size,Head Diam,Head Height
3,2.0,6.72,1.86
4,2.5,8.96,2.48
5,3.0,11.20,3.10
6,4.0,13.44,3.72
8,5.0,17.92,4.96
10,6.0,22.40,6.20
12,8.0,26.88,7.44
16,10.0,33.60,8.80
20,12.0,40.32,10.16
